,0,1,2,3,4,5,f_name
189,448.57537903041396,49,850,747,B,1,13446
190,449.9765515664304,55,543,937,A,7,13488
191,451.84478161445236,49,634,752,B,1,13544
192,459.5512305625429,48,998,743,B,0,13775
193,461.51954436313747,55,572,913,A,7,13834
194,462.1200468785731,51,1128,751,B,3,13852
195,463.15424565515667,51,1353,794,A,3,13883
196,464.4553344386005,57,1139,739,B,9,13922
197,465.78978447290194,55,810,935,A,7,13962
198,466.5570932426252,49,704,753,B,1,13985
199,467.65801452092387,49,565,784,A,1,14018
200,469.2927158129431,55,760,732,B,7,14067
201,484.6055299565516,48,1015,812,A,0,14526
202,485.43956122798994,51,1151,756,B,3,14551
203,486.57384375714616,57,1865,935,A,9,14585
204,487.60804253372976,49,766,751,B,1,14616
205,488.9424925680311,53,1168,827,A,5,14656
206,496.8824702721244,48,957,751,B,0,14894
207,497.64977904184775,51,1330,799,A,3,14917
208,498.2836428081409,53,1029,745,B,5,14936
209,499.21775783215185,55,818,883,A,7,14964
210,500.08515035444776,51,1139,751,B,3,14990
211,501.08598788017383,51,1305,795,A,3,15020
212,511.0276406357192,48,1106,827,A,0,15318
213,512.6289806768809,49,823,746,B,1,15366
214,512.9625931854563,49,662,789,A,1,15376
215,513.7966244568946,49,704,749,B,1,15401
216,514.9976294877658,57,1700,949,A,9,15436
217,522.8708846901441,48,1009,751,B,0,15673
218,524.5723084838784,55,699,905,A,7,15724
219,525.3062560027441,49,683,749,B,1,15746
220,526.7407897896181,55,648,956,A,7,15789
221,533.7466524697005,48,944,743,B,0,15999
222,535.0811025040018,51,1403,801,A,3,16038
223,536.4822750400183,55,903,737,B,7,16080
224,537.3496675623143,49,563,783,A,1,16107
225,538.8509238509033,49,670,750,B,1,16152
226,539.6849551223416,49,712,785,A,1,16177
227,548.8259378573063,48,1023,823,A,0,16451
228,550.0936653898925,57,1170,732,B,9,16489
229,551.2946704207639,56,1043,941,A,8,16525
230,552.4623142007775,51,1140,756,B,3,16560
231,553.6299579807912,55,514,935,A,7,16595
232,555.1312142693803,56,962,733,B,8,16640
233,556.0653292933913,49,677,787,A,1,16668
234,557.0328055682598,49,669,747,B,1,16697
235,568.0753796021039,48,1088,827,A,0,17028
236,569.710080894123,55,846,729,B,7,17077
237,570.210499656986,52,353,843,A,4,17092
238,578.6842573747999,55,836,669,B,7,17346
